Company, First Name, Last Name, Email
amzn,bob,freed,bob.freed@amzn.com
amzn,caitlin,thomas,caitlin.thomas@amzn.com
amzn,edward,flak,edward.flak@amzn.com
amzn,jeff,bezos,jeff.bezos@amzn.com
amzn,jill,bennet,jill.bennet@amzn.com
amzn,mike,reade,mike.reade@amzn.com
fb,chris,booker,chris.booker@fb.com
fb,fred,smith,fred.smith@fb.com
fb,jane,bland,jane.bland@fb.com
fb,mark,zuckerberg,mark.zuckerberg@fb.com
fb,megan,hill,megan.hill@fb.com
goog,gary,teafer,gary.teafer@goog.com
goog,john,kohl,john.kohl@goog.com
goog,larry,page,larry.page@goog.com
goog,phil,heal,phil.heal@goog.com
goog,sergey,brin,sergey.brin@goog.com
goog,zara,war,zara.war@goog.com
msft,alan,gret,alan.gret@msft.com
msft,bill,gates,bill.gates@msft.com
msft,darlene,neddle,darlene.neddle@msft.com
msft,don,shaffer,don.shaffer@msft.com
msft,ken,smith,ken.smith@msft.com
msft,sue,flemming,sue.flemming@msft.com
orcl,heidi,opal,heidi.opal@orcl.com
orcl,john,voy,john.voy@orcl.com
orcl,larry,ellison,larry.ellison@orcl.com
orcl,larry,lee,larry.lee@orcl.com
orcl,mark,lite,mark.lite@orcl.com
